frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma
219;2.190000;5.654353e-01;5.501465e+01;2.420068e-01
220;2.200000;6.744670e-01;4.863222e+01;2.513116e-01
221;2.210000;6.957210e-01;9.647775e+01;2.648625e-01
222;2.220000;6.266769e-01;1.416874e+02;2.859922e-01
223;2.230000;5.621629e-01;9.305515e+01;2.322803e-01
224;2.240000;5.003121e-01;4.520963e+01;2.120278e-01
225;2.250000;4.620085e-01;0;2.296042e-01
226;2.260000;4.120912e-01;0;2.672907e-01
227;2.270000;4.241435e-01;0;2.503314e-01
228;2.280000;4.232170e-01;0;1.976598e-01
229;2.290000;3.960826e-01;0;1.190884e-01
230;2.300000;3.441610e-01;0;1.051832e-01
231;2.310000;2.847443e-01;0;9.595108e-02
232;2.320000;2.685546e-01;0;4.957857e-02
233;2.330000;2.752163e-01;0;4.546004e-02
234;2.340000;3.090837e-01;0;4.167735e-02
235;2.350000;2.865654e-01;0;6.365588e-02
236;2.360000;2.682609e-01;0;5.684293e-02
237;2.370000;2.479987e-01;0;4.939657e-02
238;2.380000;2.499770e-01;0;6.176627e-02
239;2.390000;2.404007e-01;0;8.279477e-02
240;2.400000;2.271285e-01;0;9.515193e-02
241;2.410000;2.389391e-01;0;8.629560e-02
242;2.420000;2.502519e-01;0;8.309066e-02
243;2.420000;2.603975e-01;0;8.194669e-02
